MES	NETO	COSTO MERCADERIAS	PERDIDAS	COMISIONES	FIJOS	MOVILIDAD	INSUMOS	INGRESOS PABLO
2017-10	898114.51	368760.57	8198.18	88082.61	24761	0	0	44495.82
2017-11	713596.10	499993.97	4157.69	66878.93	24761	0	0	35471.92
2017-12	438785.38	304338.66	767.72	46522.90	49522	0	0	21900.88
2018-01	758773.66	533808.11	4745.13	70313.17	24761	36000	0	37701.43
2018-02	619601.50	441346.30	2616.99	53804.07	49522	51891	0	30849.23
2018-03	559364.77	392755.92	3297.39	61459.99	24761	57333	0	27803.37
2018-04	581659.04	421524.11	4576.95	53271.52	24761	35703	0	28854.10
2018-05	752145.67	532115.91	4430.31	70949.49	24761	57541	0	37385.77
2018-06	754215.04	537607.67	2410.75	73252.35	13194	27856	1845	37590.21
2018-07	848143.63	582543.52	3710.71	84249.49	26837	26699	120	42221.65
2018-08	684890.20	475100.56	4067.44	75046.02	13919.756	52154.099	210	34041.14
2018-09	1099800.78	765405.18	5826.36	103519.22	31894	49748	1750	54698.72
2018-10	951548.59	670384.01	8943.27	101419.13	31894	62925	2240	47130.27
2018-11	1070019.75	757830.98	3718.75	113143.21	59454	61083	1865	53315.05
2018-12	860860.04	600644.89	2147.01	97154.69	0	0	0	42935.65
