
##### PATRIMONIO #####

STOCK   CLIENTES  LIQUIDEZ  PROVEEDORs  PATRIMONIO
691897  664682    80040     620217      816401

##### RANKING COMPRA CLIENTES #######

MES      DENOMINACION                                  MONTO
2017-07  lanuperon tx2                                 $ 20201
2017-07  jauretche tx2                                 $ 13172
2017-07  florencio tx2                                 $ 12412
2017-07  achupallas tx2                                $ 10486
2017-07  ramos tx2                                     $ 9984
2017-07  navarro tx2                                   $ 9309
2017-07  monroe tx2                                    $ 9207
2017-07  san martin tx2                                $ 9168
2017-07  big store                                     $ 8911
2017-07  moreno tx2                                    $ 8800
2017-07  escalada tx2                                  $ 7542
2017-07  25 avellaneda tx2                             $ 7457
2017-07  rodriguez tx2                                 $ 7273
2017-07  merlo tx2                                     $ 7243
2017-07  crovara 1423 tx2                              $ 7116
2017-07  once 757 tx2                                  $ 7019
2017-07  soler tx2                                     $ 7003
2017-07  peron 3513 tx2                                $ 6932
2017-07  3 de febrero tx2                              $ 6694
2017-07  moron tx2                                     $ 6274
2017-07  calzada tx2                                   $ 6177
2017-07  estrada santa fe tx2                          $ 6068
2017-07  maipu yerbal tx2                              $ 5908
2017-07  multiprecio tx2                               $ 5409
2017-07  beiro 4285 tx2                                $ 5309
2017-07  castillo tx2                                  $ 5220
2017-07  virreyes tx2                                  $ 5129
2017-07  crovara tx2                                   $ 5064
2017-07  luis lavalle tx2                              $ 5062
2017-07  mitre san martin tx2                          $ 5014
2017-07  laferrere tx2                                 $ 4969
2017-07  glew tx2                                      $ 4548
2017-07  cesar                                         $ 4508
2017-07  forest 581 tx2                                $ 4497
2017-07  olavarria tx2                                 $ 4312
2017-07  suarez tx2                                    $ 4152
2017-07  balbin tx2                                    $ 4051
2017-07  galicia tx2                                   $ 3997
2017-07  liniers tx2                                   $ 3607
2017-07  no existe mas - cristiania tx2                $ 3533
2017-07  lalee tx2                                     $ 3510
2017-07  san fernando tx2                              $ 3420
2017-07  lafenacional                                  $ 3413
2017-07  rolon tx2                                     $ 3270
2017-07  celina tx2                                    $ 3120
2017-07  olivos tx2                                    $ 3099
2017-07  lynmartin tx2                                 $ 2998
2017-07  kimi tx2                                      $ 2952
2017-07  eva san juan tx2                              $ 2652
2017-07  cecilia tx2                                   $ 2650
2017-07  rivadavia tx2                                 $ 2570
2017-07  libreria thomas                               $ 2506
2017-07  carrillo tx2                                  $ 2387
2017-07  gaona tx2                                     $ 2355
2017-07  pilar miguel tx2                              $ 2341
2017-07  chacarita tx2                                 $ 2336
2017-07  casares tx2                                   $ 2324
2017-07  cordoba tx2                                   $ 2164
2017-07  corrientes 2 tx2                              $ 2045
2017-07  junior tx2                                    $ 1144
2017-07  urquiza tx2                                   $ 958
2017-07  pto lacroze                                   $ 918
2017-07  alberdi tx2                                   $ 774
2017-07  herrera celina tx2                            $ 464
2017-07  cobo tx2                                      $ 0
2017-08  rodriguez tx2                                 $ 26602
2017-08  guardia nacional tx2                          $ 21246
2017-08  soler tx2                                     $ 18967
