MES	PAGOS	COMPRA	RATIO
2017-07	0.00	250822.72	0.00
2017-08	0.00	425405.39	0.00
2017-09	677912.31	502862.90	1.35
2017-10	425000.00	347369.84	1.22
2017-11	540000.00	487098.17	1.11
2017-12	389000.00	359147.27	1.08
2018-01	270000.00	238184.22	1.13
2018-02	599000.00	437682.47	1.37
2018-03	421000.00	539549.27	0.78
2018-04	250000.00	481781.12	0.52
2018-05	450000.00	303893.10	1.48
2018-06	507000.00	552124.77	0.92
2018-07	430000.00	357444.51	1.20
2018-08	350000.00	364319.77	0.96
2018-09	430000.00	553590.01	0.78
2018-10	590000.00	588178.95	1.00
2018-11	754997.16	1011731.37	0.75
2018-12	517276.37	416458.12	1.24
