MES	FACTURACION	DEVOLUCION	FALTANTES
NULL	335106.90	0.00	0
NULL	824539.69	19811.56	0
NULL	679601.03	2726.49	0
2017-10	900541.67	2427.16	109367.35819999987
2017-11	720937.12	7341.02	228122.8769999952
2017-12	441149.16	2363.78	80031.0597999998
2018-01	766473.01	7699.35	292127.0687999979
2018-02	620229.42	627.92	266017.9183999995
2018-03	573495.53	14130.76	194816.96655999892
2018-04	591290.78	9631.74	190900.73180000257
2018-05	754998.92	2853.25	124293.79159200017
2018-06	758236.19	4021.15	144155.7694380005
2018-07	856463.49	8319.86	163541.61968000035
2018-08	693932.72	9042.52	258391.8191999989
2018-09	1107494.74	7693.96	276885.36560000305
2018-10	968948.30	17399.71	230017.10400000462
2018-11	1084520.93	14501.18	238169.2562000048
2018-12	872639.75	11779.71	196434.3408000013
