OPERACION;DENOMINACION;HABER
7740;asamblea tx2;7495
7804;avellaneda 1961;4075
7803;avellaneda 3431;15150
7726;avenida de mayo tx2;2420
7808;beccar tx2;6240
7725;big store;2915
7815;bingocrovara tx2;7945
7744;cabildo 3520;4535
7720;CASA CAMI;330
7766;castillo tx2;3550
7769;catan tx2;7919
7806;centenario 234 tx2;7925
7807;centenario 234 tx2;4845
7790;cesar;540
7791;cesar;4460
7795;chacarita tx2;3284
7757;ciudadela tx2;12005
7739;cobo tx2;9355
7771;david;46455
7712;eva san juan tx2;8000
7742;eva san juan tx2;6480
7810;florida-martin tx2;10875
7710;franco 5827;16450
7794;gaona tx2;2180
7816;illia arieta tx2;49855
7768;illia murguiondo;22742
7797;jose maria moreno tx2;11805
7796;juramento tx2;24889
7793;kimi tx2;4697
7829;la terminal;15550
7767;lafeluro tx2;6529
7738;liniers tx2;8540
7809;maipu yerbal tx2;6075
7814;marcos paz tx2;7633
7770;merlo libertador;12050
7727;mitre 2230 tx2;14675
7811;moreno tx2;548
7812;moreno tx2;14989
7713;moron belgrano tx2;16417
7758;murature tx2;7309
7792;olavarria tx2;295
7813;palomar;14550
7711;peron 3513 tx2;10329
7723;peron miguel;6395
7741;rioja 2074;2670
7743;rivadavia 2379 tx2;10190
7798;rivadavia tx2;5170
7718;rodriguez tx2;1155
7719;rodriguez tx2;27415
7805;san isidro tx2;2925
7745;santos tx2;7915
7756;soler tx2;5945
7714;tapia escobar tx2;10907
7715;tapia escobar tx2;2202
7716;tapia escobar tx2;848
7717;tapia escobar tx2;1707
7759;varela calzada tx2;14501
7760;varela calzada tx2;1095
7724;yrigoyen paz;3725
