MES;NETO;COSTO MERCADERIAS;PERDIDAS;COMISIONES;COMISIONES EXTRA;FIJOS;MOVILIDAD;INSUMOS;INGRESOS PABLO
NULL;NULL;NULL;0.00;34253.12;0;0;0;0;NULL
NULL;NULL;NULL;0.00;84374.61;0;0;0;0;NULL
NULL;NULL;NULL;0.00;64610.95;0;0;0;0;NULL
2017-10;898114.51;368760.57;8198.18;88082.61;0;24761;0;0;35596.65
2017-11;713596.10;499993.97;4157.69;66878.93;0;24761;0;0;28377.54
2017-12;438785.38;304338.66;767.72;46522.90;0;49522;0;0;17520.71
2018-01;758773.66;533808.11;4745.13;70313.17;0;24761;36000;0;30161.14
2018-02;619601.50;441346.30;2616.99;53804.07;0;49522;51891;0;24679.38
2018-03;559364.77;392755.92;3297.39;61459.99;0;24761;57333;0;22242.70
2018-04;581659.04;421524.11;4576.95;53271.52;0;24761;35703;0;23083.28
2018-05;752145.67;532115.91;4430.31;70949.49;0;24761;57541;0;29908.61
2018-06;754215.04;537607.67;2410.75;73252.35;0;13194;27856;1845;30072.17
2018-07;848143.63;582543.52;3710.71;84249.49;0;26837;26699;120;33777.32
2018-08;684890.20;475100.56;4067.44;75046.02;0;13919.756;52154.099;210;27232.91
2018-09;1099800.78;764037.18;5826.36;103519.22;0;31894;49748;1750;43758.98
2018-10;951548.59;670384.01;8943.27;101419.13;0;31894;62925;2240;37704.21
2018-11;1070019.75;757830.98;3718.75;113143.21;0;59454;61083;1865;42652.04
2018-12;860860.04;600015.40;2111.59;94137.15;0;30946;27527;80;34349.94
2019-01;930332.28;665739.56;2092.28;89744.66;0;54572;52067;750;37129.60
2019-02;978871.34;701344.69;8912.62;104654.13;0;50546;68516;2950;38798.35
2019-03;792718.53;569399.86;4078.86;82267.07;0;50526;44786;2340;31545.59
2019-04;912994.45;693424.46;9123.97;90834.87;0;25288.298;32420.579;1000;36154.82
2019-05;1146864.01;884397.86;5205.26;84055.08;708;50576;61969;1530;45666.35
2019-06;848807.31;649741.36;3796.40;53466.00;6010;50484;43600;855;33800.44
2019-07;1351140.23;1040366.63;4118.39;83018.96;8368;51604;64378;450;53880.87
2019-08;1301750.17;990789.59;6034.45;79978.11;3504;59334;68561;2345;51828.63
2019-09;1532128.98;1173671.54;5508.73;91485.77;8409;60356;70493;900;61064.81
2019-10;1508516.58;1137992.09;4370.14;91462.73;6362;60356;77823;1110;60165.86
2019-11;1454781.18;1091402.71;6076.77;91926.57;1025;70345;72954;1960;57948.18
2019-12;1185189.69;887988.28;3095.09;69310.95;8907;70782;54337;2090;47283.78
2020-01;1781339.98;1341079.33;2431.22;113216.22;0;35391;7502;0;71156.35
2020-02;1156387.81;875193.43;5862.83;64145.42;2628;35391;33799;0;46021.00
2020-03;174993.24;196004.72;0.00;11145.52;0;0;0;0;6999.73
