FECHA;STOCK;ARMADOS FACTURADOS;ARMADOS;CLIENTES;COMISIONES FUTURAS;PROVEEDORs;CAJA
2019-06-15;20737487;-19746525;35245;531491;53149,1;629470;2410
2019-06-30;21049284;-20016084;67551;409844;40984,4;722785;101005
2019-07-15;21084163;-20469480;7565;483058;48305,8;357344;106020
2019-07-31;22024409;-21259961;54881;652609;65260,9;650354;98205
2019-08-15;22764407;-21998969;0;899495;89949,5;850471;278990
2019-08-31;26813563;-26086837;16297;862784;86278,4;545306;51180
2019-09-01;26813563;-26086837;16297;843999;84399,9;545306;0
2019-09-15;27529577;-26656305;8221;930930;93093,0;700000;28145
2019-09-30;28404092;-27335338;0;933249;93324,9;746851;45390
2019-10-15;28955937;-27746413;24025;805178;80517,8;999461;134785
2019-10-31;31460090;-30094243;53943;745194;74519,4;782076;52060
2019-11-15;34456968;-32931415;5339;1021007;102100,7;1209124;6635
2019-11-30;34505684;-33345363;6003;740818;74081,8;735063;231465
2019-12-15;35187160;-33980131;32144;583333;58333,3;527784;121445
2019-12-31;35786656;-34458199;0;766295;76629,5;816171;87020
2020-01-15;35826221;-34776989;0;1024240;102424,0;773410;170830
2020-02-15;37775614;-36444580;93271;815487;81548,7;911626;13070
2020-02-28;38423551;-37119321;0;631648;63164,8;516606;0
2020-02-29;38423551;-37119321;0;631648;63164,8;516606;64210
