opDATE;spDATE;REFERENCIA;DEBE;HABER
2019-12-19;2019-12-18;1812 ULTIMA;42761,4;0
2019-12-28;2019-12-28;281219;0;11836,08
2019-12-28;2019-12-28;2812;11836,08;0
2019-12-27;2019-12-27;271219;0;6820
2019-12-27;2019-12-27;2712;6820;0
2019-12-20;2019-12-20;20/12;0;9000
2019-12-20;2019-12-19;42186;42521,58;0
2019-12-20;2019-12-17;42172;28000,49;0
2019-12-20;2019-12-17;42171;51701,05;0
2019-12-20;2019-12-17;42169;32517,36;0
2019-12-20;2019-12-17;42168;139417,1;0
2019-12-20;2019-12-17;42167;136741,7;0
2019-12-20;2019-12-17;42166;103726,6;0
2019-12-19;2019-12-19;161;0;280000
2019-12-11;2019-12-11;160;0;325000
2019-12-08;2019-11-29;19363;9000;0
2019-12-08;2019-12-05;42076;29841,83;0
2019-12-05;2019-12-05;159;0;385759,69
2019-12-03;2019-11-28;42029;8929,68;0
2019-12-03;2019-11-28;42028;150606,3;0
2019-12-03;2019-11-28;42027;206911,1;0
2019-12-03;2019-11-28;42026;98191,97;0
2019-11-25;2019-11-25;158;0;331654,52
2019-11-13;2019-11-13;131119_M;50486,04;0
2019-11-16;2019-11-16;2986/1;0;142407,1
2019-11-15;2019-11-15;1511;0;9000
2019-11-15;2019-11-15;131119;0;50486,04
2019-11-13;2019-11-13;157;0;350000
2019-11-08;2019-11-08;2986;142407,1;0
2019-11-08;2019-11-07;41846;64958,84;0
2019-11-08;2019-11-07;41845;114146,4;0
2019-11-08;2019-11-07;41844;82878,41;0
2019-11-08;2019-11-07;41843;87318,24;0
2019-11-08;2019-11-07;41842;94658,03;0
2019-11-08;2019-11-07;41841;119816,2;0
2019-11-08;2019-11-07;41840;71724,94;0
2019-11-05;2019-11-04;41833;8140,416;0
2019-10-31;2019-10-31;311019;0;127683,3
2019-10-31;2019-10-31;156;0;400000
2019-10-31;2019-10-28;41755;95674,94;0
2019-10-31;2019-10-28;41754;251463;0
2019-10-31;2019-10-28;41753;55047,52;0
2019-10-31;2019-10-28;41752;149649,7;0
2019-10-30;2019-10-30;2973;127683,3;0
2019-10-24;2019-10-21;19234;9000;0
2019-10-24;2019-10-24;241019;0;51414
2019-10-24;2019-10-24;2410;51414;0
2019-10-21;2019-10-21;155;0;415000
2019-10-17;2019-10-17;1410;0;18360
2019-10-16;2019-10-14;41653;55139,67;0
2019-10-10;2019-10-10;41634;-1954,368;0
2019-10-09;2019-10-09;154;0;267225,7
2019-10-06;2019-10-03;41579;89346,04;0
2019-10-06;2019-10-03;41578;136811,1;0
2019-10-06;2019-10-03;41577;119457,5;0
2019-10-06;2019-10-03;41576;83687,04;0
2019-10-06;2019-10-03;41574;92488,08;0
2019-09-29;2019-09-29;153;0;299999,74
2019-09-25;2019-09-25;250919;0;138539,46
2019-09-25;2019-09-24;41495;109537,5;0
2019-09-23;2019-09-23;2932;25572,96;0
2019-09-23;2019-09-23;2931;112966,5;0
2019-09-19;2019-09-19;152;0;249998,76
2019-09-19;2019-09-17;41455;22984;0
2019-09-19;2019-09-17;41439;136063,8;0
2019-09-19;2019-09-17;41438;115464,7;0
2019-09-19;2019-09-17;41437;77213,19;0
2019-09-19;2019-09-17;41436;28201,64;0
2019-09-19;2019-09-17;41435;89024,95;0
2019-09-18;2019-09-16;19158;18360;0
2019-09-17;2019-09-17;170919;0;31055,76
2019-09-17;2019-09-17;1709;31055,76;0
2019-09-17;2019-09-17;170919;0;73986
2019-09-17;2019-09-17;1709;73986;0
2019-09-13;2019-09-13;130919;0;17130
2019-09-13;2019-09-13;13-09;17130;0
2019-09-12;2019-09-12;151;0;292635,04
2019-09-07;2019-09-07;070919;0;59888,88
2019-09-07;2019-09-07;0709;59888,88;0
2019-09-06;2019-09-04;41371;2349,87;0
2019-09-06;2019-09-04;41370;63886,18;0
2019-09-06;2019-09-04;41369;90742,05;0
2019-09-06;2019-09-04;41368;80086,46;0
2019-09-06;2019-09-04;41367;21347,24;0
2019-09-06;2019-09-03;41354;42714,42;0
2019-09-06;2019-09-03;41353;175521,2;0
2019-09-06;2019-09-03;41352;96727,18;0
2019-09-05;2019-09-05;050919;0;126045,4
2019-08-29;2019-08-29;150;0;170000
2019-08-25;2019-08-25;2408;0;23752,8
2019-08-25;2019-08-22;2308;556,8;0
2019-08-24;2019-08-22;2904;126045,4;0
2019-08-22;2019-08-22;149;0;424163,12
2019-08-22;2019-08-20;41238;28913,51;0
2019-08-22;2019-08-20;41237;88529,75;0
2019-08-22;2019-08-20;41236;99118,29;0
2019-08-22;2019-08-20;41235;77001,67;0
2019-08-18;2019-08-18;190819;0;107415
2019-08-15;2019-08-07;41175/1;42613,76;0
2019-08-14;2019-08-14;140819;0;49959,36
2019-08-14;2019-08-14;1408;49959,36;0
2019-08-10;2019-08-07;41177;157070,3;0
2019-08-10;2019-08-07;41176;138631,1;0
2019-08-10;2019-08-07;41175;46802,38;0
2019-08-02;2019-08-02;148;0;185000
2019-07-31;2019-07-31;310719;0;11755
2019-07-31;2019-07-31;410;11755;0
2019-07-30;2019-07-29;2907;23196;0
2019-07-30;2019-07-30;2870;107415;0
2019-07-25;2019-07-25;190719;0;36050,64
2019-07-25;2019-07-25;250719;0;142343,8
2019-07-20;2019-07-19;1046;36050,64;0
2019-07-18;2019-07-18;147;0;214999,58
2019-07-18;2019-07-16;41062;3023,424;0
2019-07-18;2019-07-16;41061;69817,09;0
2019-07-18;2019-07-10;41021;47191,16;0
2019-07-18;2019-07-10;41020;89707,21;0
2019-07-18;2019-07-10;41019;135885,3;0
2019-07-18;2019-07-10;41018;174118,2;0
2019-07-15;2019-07-15;030719;0;13248
2019-07-11;2019-07-11;146;0;185441,34
2019-07-10;2019-07-03;18947;13248;0
2019-07-03;2019-07-03;145;0;180000
2019-06-28;2019-06-21;39978;19244,4;0
2019-06-28;2019-06-28;110619;0;62745,6
2019-06-28;2019-06-25;1106;62745,6;0
2019-06-25;2019-06-25;144;0;150000
2019-06-21;2019-06-11;39912;44815,44;0
2019-06-21;2019-06-11;39911;36911,04;0
2019-06-20;2019-06-13;2793;142343,8;0
2019-06-13;2019-06-13;100619;0;9792
2019-06-13;2019-06-10;1006;9792;0
2019-06-11;2019-06-11;143;0;153569,06
2019-06-09;2019-06-09;100619;0;147058,4
2019-06-04;2019-06-04;142;0;355303,23
2019-06-02;2019-06-02;290519;0;36580
2019-06-02;2019-05-29;2905;36580;0
2019-05-30;2019-05-24;39810;399,6432;0
2019-05-30;2019-05-24;39809;87606,33;0
2019-05-30;2019-05-24;39805;57267,99;0
2019-05-30;2019-05-24;39804;116824;0
2019-05-30;2019-05-24;39803;130025,2;0
2019-05-30;2019-05-24;39802;93166,91;0
2019-05-27;2019-05-27;270519;0;9450
2019-05-27;2019-05-27;2705;9450;0
2019-05-24;2019-05-24;240519;0;38304
2019-05-24;2019-05-24;2405;38304;0
2019-05-19;2019-05-19;170519;0;4080
2019-05-19;2019-05-17;1705;4080;0
2019-05-19;2019-05-19;141;0;100000
2019-05-19;2019-05-15;39761;13418,53;0
2019-05-19;2019-05-15;39760;22371,25;0
2019-05-19;2019-05-15;39759;34944,77;0
2019-05-19;2019-05-15;39758;56703,94;0
2019-05-19;2019-05-15;39757;16741,12;0
2019-05-13;2019-05-13;090419;0;52713,6
2019-05-13;2019-05-13;090519;0;36480
2019-05-13;2019-05-09;0905;36480;0
2019-05-10;2019-05-09;2737;147058,4;0
2019-05-09;2019-05-09;39704;-3011,42;0
2019-05-09;2019-05-09;140;0;200000
2019-05-09;2019-05-09;39583/1;1491,97;0
2019-05-09;2019-05-09;39583;-4595,1;0
2019-05-07;2019-05-06;39677;47098,74;0
2019-05-07;2019-05-06;39676;60721,94;0
2019-05-07;2019-05-06;39675;86914,56;0
2019-05-07;2019-05-06;39674;65342,1;0
2019-05-07;2019-05-06;39673;21760,67;0
2019-05-07;2019-05-06;39672;81684,88;0
2019-05-05;2019-05-05;030519;0;43120
2019-05-05;2019-05-05;0305;43120;0
2019-05-01;2019-05-01;300419;0;97557,6
2019-04-25;2019-04-25;139;0;150000
2019-04-14;2019-04-11;39556;28532,1;0
2019-04-14;2019-04-11;39555;103204,06;0
2019-04-14;2019-04-11;39554;58195,17;0
2019-04-14;2019-04-11;39553;110090,9;0
2019-04-14;2019-04-11;39552;45686,34;0
2019-04-14;2019-04-11;39551;59224,43;0
2019-04-14;2019-04-11;39550;87354,15;0
2019-04-11;2019-04-11;138;0;350000
2019-04-11;2019-04-11;110419;52713,6;0
2019-04-11;2019-04-08;39529;44523,81;0
2019-04-08;2019-04-05;39515;26844,35;0
2019-03-29;2019-03-27;2669;25094,16;0
2019-03-29;2019-03-27;2668;72463,44;0
2019-03-28;2019-03-28;137;0;227573,8
2019-03-28;2019-03-28;290319;0;49028,7
2019-03-22;2019-03-15;39367;22957,56;0
2019-03-17;2019-03-17;180319;0;14860,8
2019-03-15;2019-02-27;119;49028,7;0
2019-03-14;2019-03-14;136;0;230000
2019-03-11;2019-03-01;39283;77097,14;0
2019-03-11;2019-03-01;39282;80367,12;0
2019-03-11;2019-03-01;39281;49686,28;0
2019-03-11;2019-03-01;39280;70772,01;0
2019-03-11;2019-03-01;39279;86929,01;0
2019-03-01;2019-02-28;39273;3246,7;0
2019-03-01;2019-02-28;39272;-3497,748;0
2019-03-01;2019-02-27;39260;22159,99;0
2019-02-28;2019-02-28;135;0;350294,17
2019-02-28;2019-02-25;18515;14860,8;0
2019-02-27;2019-02-27;170219;0;19113,6
2019-02-27;2019-02-17;1702;19113,6;0
2019-02-25;2019-02-25;250219;0;13824
2019-02-23;2019-02-21;39214;112886,7;0
2019-02-23;2019-02-21;39213;129949;0
