FECHA;COSTO;REGISTRO
2020-02-28;COMISIONES_EXTRA;0
2020-02-28;COMISIONES_PABLO;0
2020-02-28;DINERO_EN_CAJA;0
2020-02-28;FIJOS;0
2020-02-28;INSUMOS;0
2020-02-28;MOVILIDAD;0
2020-02-28;PERDIDAS;0
2020-02-15;COMISIONES_EXTRA;2628
2020-02-15;COMISIONES_PABLO;37636
2020-02-15;DINERO_EN_CAJA;13070
2020-02-15;FIJOS;35391
2020-02-15;INSUMOS;0
2020-02-15;MOVILIDAD;33799
2020-02-15;PERDIDAS;2452
2020-01-15;COMISIONES_EXTRA;0
2020-01-15;COMISIONES_PABLO;6038
2020-01-15;DINERO_EN_CAJA;170830
2020-01-15;FIJOS;35391
2020-01-15;INSUMOS;0
2020-01-15;MOVILIDAD;7502
2020-01-15;PERDIDAS;258
2019-12-31;COMISIONES_EXTRA;6224
2019-12-31;COMISIONES_PABLO;18072
2019-12-31;DINERO_EN_CAJA;87020
2019-12-31;FIJOS;35391
2019-12-31;INSUMOS;1255
2019-12-31;MOVILIDAD;30417
2019-12-31;PERDIDAS;1793
2019-12-15;COMISIONES_EXTRA;2683
2019-12-15;COMISIONES_PABLO;31110
2019-12-15;DINERO_EN_CAJA;121445
2019-12-15;FIJOS;35391
2019-12-15;INSUMOS;835
2019-12-15;MOVILIDAD;23920
2019-12-15;PERDIDAS;1307
2019-11-30;COMISIONES_EXTRA;295
2019-11-30;COMISIONES_PABLO;29295
2019-11-30;DINERO_EN_CAJA;231465
2019-11-30;FIJOS;35075
2019-11-30;INSUMOS;1200
2019-11-30;MOVILIDAD;27446
2019-11-30;PERDIDAS;2628
2019-11-15;COMISIONES_EXTRA;730
2019-11-15;COMISIONES_PABLO;31748
2019-11-15;DINERO_EN_CAJA;6635
2019-11-15;FIJOS;35270
2019-11-15;INSUMOS;760
2019-11-15;MOVILIDAD;45508
2019-11-15;PERDIDAS;3680
2019-10-31;COMISIONES_EXTRA;3942
2019-10-31;COMISIONES_PABLO;39892
2019-10-31;DINERO_EN_CAJA;52060
2019-10-31;FIJOS;30178
2019-10-31;INSUMOS;0
2019-10-31;MOVILIDAD;50158
2019-10-31;PERDIDAS;2958
2019-10-15;COMISIONES_EXTRA;2420
2019-10-15;COMISIONES_PABLO;24979
