OPFECHA;REFERENCIA;SPFECHA;DEBE;HABER
2020-03-16;169;2020-03-16;0;250009,16
2020-03-13;42793;2020-03-05;77509,23;0
2020-03-13;42808;2020-03-05;81958,98;0
2020-03-13;42793/1;2020-03-05;19173,76;0
2020-03-13;130320;2020-03-13;0;58493,28
2020-03-13;42807;2020-03-05;102916,2;0
2020-03-13;42809;2020-03-05;13073,45;0
2020-03-13;1303;2020-03-13;58493,28;0
2020-03-13;42847;2020-03-09;50351,91;0
2020-03-12;3107/08;2020-02-27;12979,2;0
2020-03-12;;2020-02-27;89445,72;0
2020-03-12;130320;2020-03-12;0;102424,92
2020-02-28;42728;2020-02-27;221452;0
2020-02-28;42727;2020-02-27;97414,13;0
2020-02-27;2702;2020-02-27;10090,8;0
2020-02-27;168;2020-02-27;0;155000
2020-02-27;270220;2020-02-27;0;10090,8
2020-02-21;plantillas 2102;2020-02-21;71728,8;0
2020-02-21;210220;2020-02-21;0;71728,3
2020-02-21;2202;2020-02-21;0;0,5
2020-02-20;167;2020-02-20;0;350000
2020-02-17;0702;2020-02-07;25731,66;0
2020-02-17;070220;2020-02-17;0;25731,66
2020-02-17;040220;2020-02-17;0;208886,3
2020-02-17;1402;2020-02-14;26659,62;0
2020-02-17;140220;2020-02-17;0;26659,62
2020-02-14;42556;2020-02-10;20329,81;0
2020-02-14;42558;2020-02-10;123933,3;0
2020-02-14;42560;2020-02-10;40237,91;0
2020-02-14;166;2020-02-14;0;402378,56
2020-02-14;42555;2020-02-10;125075,9;0
2020-02-14;42557;2020-02-10;67420,53;0
2020-02-14;42559;2020-02-10;99568,08;0
2020-02-14;42555//1;2020-02-14;0;638,06
2020-02-07;070220;2020-02-07;0;23940
2020-02-07;0702;2020-02-07;23940;0
2020-02-06;165;2020-02-06;0;219411,35
2020-02-06;42426/1;2020-01-27;12473,71;0
2020-02-04;42424;2020-01-27;123354,7;0
2020-02-04;42426;2020-01-27;173695,2;0
2020-02-04;42428;2020-01-27;40642,34;0
2020-02-04;42425;2020-01-27;91239,22;0
2020-02-04;42427;2020-01-27;48716,31;0
2020-02-03;3068/72;2020-01-31;208886,3;0
2020-01-31;31-01;2020-01-31;44140,8;0
2020-01-31;164;2020-01-31;0;93797,72
2020-01-31;31-01-20;2020-01-31;0;44140,8
2020-01-23;162;2020-01-23;0;399998,83
2020-01-23;42316;2020-01-15;107569;0
2020-01-23;42318;2020-01-15;88884,3;0
2020-01-23;42320;2020-01-15;27926,59;0
2020-01-23;42315;2020-01-15;80386,73;0
2020-01-23;42317;2020-01-15;111842,5;0
2020-01-23;42319;2020-01-15;22257,52;0
2020-01-23;163;2020-01-23;0;359999,4
2020-01-13;2511;2019-11-25;32417,04;0
2020-01-13;181219;2020-01-13;0;42761,4
