opFECHA;DENOMINACION;DEBE;opID
2019-12-27;avellaneda tx2;2946,97;10209
2019-12-27;palomar;16896,84;10207
2019-12-27;hurlingham tx2;18085,83;10206
2019-12-27;jauretche tx2;22392,07;10205
2019-12-26;berazategui tx2;7452,1;10194
2019-12-26;beccar tx2;20137,63;10191
2019-12-26;olivos tx2;12173,72;10190
2019-12-26;maipu yerbal tx2;7241,97;10189
2019-12-26;lopez tx2;10142,63;10188
2019-12-26;maipu 24 tx2;4231,19;10187
2019-12-25;beiro 4285 tx2;861,39;10186
2019-12-24;estrada tx2;11130,37;10185
2019-12-24;mitre san martin tx2;15392,6;10184
2019-12-24;carrillo tx2;1080,28;10183
2019-12-21;rivadavia tx2;16417,41;10182
2019-12-21;kimi tx2;3542,05;10181
2019-12-21;juan cesar;13094,14;10180
2019-12-21;ort tx2;31924,05;10179
2019-12-21;eva san juan tx2;14192,77;10178
2019-12-21;liniers tx2;7338,9;10177
2019-12-20;ruta 23 tx2;1246,89;10167
2019-12-20;vicente jose tx2;4136,9;10166
2019-12-20;illia santamarina;2368,16;10165
2019-12-20;el jaguel tx2;3953,46;10164
2019-12-19;illia murguiondo;16662,67;10163
2019-12-19;catan tx2;7260,94;10162
2019-12-19;laferrere tx2;14439,76;10161
2019-12-19;san justo tx2;417,76;10160
2019-12-19;balcarce ciudad;24435,51;10159
2019-12-19;santos tx2;9020,48;10158
2019-12-19;moreno tx2;13787,04;10157
2019-12-19;rodriguez tx2;7548,27;10156
2019-12-19;CASA CAMI;800,75;10155
2019-12-19;casares tx2;8181,65;10138
2019-12-19;beiro 4285 tx2;4562,97;10137
2019-12-19;pueyrredon tx2;7547,75;10136
2019-12-19;alberdi tx2;24348,44;10135
2019-12-18;asamblea tx2;4379,45;10134
2019-12-18;san fernando tx2;2797,28;10133
2019-12-18;nestor tx2;4592,16;10115
2019-12-18;silvio serrano;64268,08;10114
2019-12-17;illia santamarina;7980,07;10113
2019-12-17;vicente jose tx2;11685,15;10112
2019-12-17;el jaguel tx2;9925,67;10111
