FECHA;STOCK;ARMADOS FACTURADOS;ARMADOS;CLIENTES;COMISIONES FUTURAS;PROVEEDORs;CAJA
2019-06-15;20737487;-19746525;35245;595402;59540,2;629470;2410
2019-06-30;21049284;-20016084;67551;557804;55780,4;722785;101005
2019-07-15;21084163;-20469480;7565;717668;71766,8;357344;106020
2019-07-31;22024409;-21259961;54881;842335;84233,5;650354;98205
2019-08-15;22764407;-21998969;0;916756;91675,6;850471;278990
2019-08-31;26813563;-26086837;16297;978040;97804,0;545306;51180
2019-09-01;26813563;-26086837;16297;989537;98953,7;545306;0
2019-09-15;27529577;-26656305;8221;1152129;115212,9;700000;28145
2019-09-30;28404092;-27335338;0;1035852;103585,2;746851;45390
2019-10-15;28955937;-27746413;24025;1014774;101477,4;999461;134785
2019-10-31;31460090;-30094243;53943;915675;91567,5;782076;52060
2019-11-15;34456968;-32931415;5339;1045482;104548,2;1209124;6635
2019-11-30;34505684;-33345363;6003;831805;83180,5;735063;231465
2019-12-15;35187160;-33980131;32144;720182;72018,2;527784;121445
2019-12-31;35786656;-34458199;0;783556;78355,6;816171;87020
2020-01-15;35826221;-34776989;0;1324506;132450,6;773410;170830
2020-02-15;37775614;-36444580;93271;957515;95751,5;911626;13070
2020-02-28;38423551;-37119321;0;672807;67280,7;516606;0
2020-02-29;38423551;-37119321;0;672807;67280,7;516606;64210
