REMITO;FECHA;CLIENTE;TOTAL DELOREAN;TOTAL UTIL
12;2017-07-12;moreno tx2;0;0
13;2017-07-12;ramos tx2;0;0
14;2017-07-12;soler tx2;0;0
15;2017-07-12;mitre san martin tx2;0;0
16;2017-07-12;once 757 tx2;0;0
17;2017-07-12;lynmartin tx2;0;0
18;2017-07-12;san martin tx2;0;0
19;2017-07-12;calzada tx2;0;0
20;2017-07-12;florencio tx2;0;0
21;2017-07-12;gaona tx2;0;0
22;2017-07-13;crovara 1423 tx2;0;0
23;2017-07-13;crovara tx2;0;0
24;2017-07-14;maipu yerbal tx2;0;0
25;2017-07-14;olivos tx2;0;0
26;2017-07-14;monroe tx2;0;0
27;2017-07-14;lafenacional;0;0
28;2017-07-14;cordoba tx2;0;0
29;2017-07-14;forest 581 tx2;0;0
31;2017-07-16;carrillo tx2;0;0
32;2017-07-16;chacarita tx2;0;0
33;2017-07-16;escalada tx2;0;0
34;2017-07-16;rolon tx2;0;0
35;2017-07-16;eva san juan tx2;0;0
36;2017-07-16;balbin tx2;0;0
37;2017-07-16;lanuperon tx2;0;0
38;2017-07-17;galicia tx2;0;0
39;2017-07-17;lalee tx2;0;0
42;2017-07-18;rodriguez tx2;0;0
43;2017-07-19;rivadavia tx2;0;0
44;2017-07-19;peron 3513 tx2;0;0
45;2017-07-19;suarez tx2;0;0
46;2017-07-21;multiprecio tx2;0;0
47;2017-07-21;corrientes 2 tx2;0;0
48;2017-07-21;casares tx2;0;0
49;2017-07-21;kimi tx2;0;0
50;2017-07-23;liniers tx2;0;0
51;2017-07-23;avellaneda 1961;0;0
53;2017-07-23;san fernando tx2;0;0
54;2017-07-23;estrada santa fe tx2;0;0
55;2017-07-24;jauretche tx2;0;0
56;2017-07-24;moron tx2;0;0
57;2017-07-24;merlo tx2;0;0
58;2017-07-24;3 de febrero tx2;0;0
60;2017-07-25;olavarria tx2;0;0
61;2017-07-25;alberdi tx2;0;0
62;2017-07-25;laferrere tx2;0;0
63;2017-07-25;glew tx2;0;0
64;2017-07-25;cesar;0;0
65;2017-07-25;pilar miguel tx2;0;0
66;2017-07-25;25 avellaneda tx2;0;0
67;2017-07-25;beiro 4285 tx2;0;0
69;2017-07-26;junior tx2;0;0
70;2017-07-27;herrera celina tx2;0;0
71;2017-07-27;celina tx2;0;0
72;2017-07-27;luis lavalle tx2;0;0
73;2017-07-27;no existe mas - cristiania tx2;0;0
74;2017-07-27;achupallas tx2;0;0
75;2017-07-27;castillo tx2;0;0
76;2017-07-27;pto lacroze;0;0
77;2017-07-27;libreria thomas;0;0
78;2017-07-27;escalada tx2;0;0
79;2017-07-30;cecilia tx2;0;0
80;2017-07-30;cobo tx2;0;0
81;2017-07-31;lafenacional;0;0
82;2017-07-31;navarro tx2;0;0
83;2017-07-31;big store;0;0
84;2017-07-31;urquiza tx2;0;0
85;2017-08-01;yrigoyen lanus;0;0
86;2017-08-01;bingocrovara tx2;0;0
88;2017-08-01;avenida de mayo tx2;0;0
89;2017-08-01;avellaneda tx2;0;0
90;2017-08-01;mitre avellaneda tx2;0;0
91;2017-08-01;los incas tx2;0;0
92;2017-08-01;marquez tx2;0;0
93;2017-08-01;cesar;0;0
94;2017-08-02;juan mansilla tx2;0;0
95;2017-08-02;diaz velez 4480;0;0
96;2017-08-02;pueyrredon tx2;0;0
107;2017-08-03;luis lavalle tx2;0;0
108;2017-08-03;ruta 23 tx2;0;0
109;2017-08-03;estrada tx2;0;0
110;2017-08-03;san wilde tx2;0;0
116;2017-08-06;marcos paz tx2;0;0
117;2017-08-06;claypole tx2;0;0
118;2017-08-06;ciudadela tx2;0;0
119;2017-08-06;medrano tx2;0;0
120;2017-08-06;mitre san martin tx2;0;0
121;2017-08-06;avellaneda tx2;0;0
122;2017-08-06;pablo alberdi tx2;0;0
123;2017-08-07;soler tx2;0;0
124;2017-08-07;independencia tx2;0;0
125;2017-08-07;veronica tx2;0;0
126;2017-08-07;acoyte tx2;0;0
127;2017-08-07;libreria thomas;0;0
128;2017-08-07;beiro 4285 tx2;0;0
130;2017-08-08;diaz velez 4480;0;0
131;2017-08-08;rivadavia tx2;0;0
132;2017-08-08;juan cesar;0;0
133;2017-08-08;cuenca tz2;0;0
134;2017-08-08;escobar tx2;0;0
135;2017-08-08;santos tx2;0;0
136;2017-08-08;san nicolas arroyos;0;0
144;2017-08-09;katinazca tx2;0;0
146;2017-08-09;cordoba tx2;0;0
147;2017-08-09;wang tx2;0;0
149;2017-08-09;san miguel tx2;0;0
150;2017-08-09;moreno tx2;0;0
151;2017-08-10;gaona tx2;0;0
152;2017-08-10;kimi tx2;0;0
153;2017-08-10;caseros tx2;0;0
154;2017-08-11;cesar;0;0
162;2017-08-12;segui tx2;0;0
163;2017-08-12;libreria los primos;0;0
164;2017-08-12;suarez tx2;0;0
166;2017-08-12;riva 7579 tx2;0;0
167;2017-08-12;yrigoyen paz;0;0
168;2017-08-12;solano tx2;0;0
169;2017-08-12;josecpaz tx2;0;0
170;2017-08-12;big store;0;0
171;2017-08-12;san wilde tx2;0;0
189;2017-08-14;mercedes tx2;0;0
190;2017-08-14;lynmartin tx2;0;0
191;2017-08-14;urquiza tx2;0;0
192;2017-08-14;libreria stockler;0;0
204;2017-08-15;beiro 4285 tx2;0;0
205;2017-08-15;mariano tx2;0;0
207;2017-08-15;san juan tx2;0;0
208;2017-08-15;congreso tx2;0;0
209;2017-08-15;rivadavia 2379 tx2;0;0
210;2017-08-15;corrientes 2 tx2;0;0
216;2017-08-16;alsina tx2;0;0
217;2017-08-16;guardia nacional tx2;0;0
218;2017-08-16;moron tx2;0;0
219;2017-08-16;merlo libertador;0;0
220;2017-08-16;diego santa fe;0;0
221;2017-08-16;xeng tx2;0;0
222;2017-08-16;merlo tx2;0;0
223;2017-08-16;merlo moreno;0;0
224;2017-08-16;liniers tx2;0;0
227;2017-08-16;no existe mas - alem grande tx2;0;0
233;2017-08-16;carrillo tx2;0;0
244;2017-08-17;el jaguel tx2;0;0
245;2017-08-17;moron belgrano tx2;0;0
246;2017-08-17;perfumeria triunvirato;0;0
247;2017-08-17;avellaneda tx2;0;0
248;2017-08-17;mitre avellaneda tx2;0;0
249;2017-08-17;multiprecio tx2;0;0
253;2017-08-18;domingo peron tx2;0;0
254;2017-08-18;adpompeya tx2;0;0
255;2017-08-18;franco tx2;0;0
256;2017-08-18;peron 3513 tx2;0;0
257;2017-08-18;alberdi tx2;0;0
258;2017-08-18;mataderos tx2;0;0
259;2017-08-19;achupallas tx2;0;0
260;2017-08-19;mosconi tx2;0;0
261;2017-08-19;san wilde tx2;0;0
263;2017-08-19;9 de julio tx2;0;0
264;2017-08-21;3 de febrero tx2;0;0
265;2017-08-21;lomas tx2;0;0
266;2017-08-21;ezeiza tx2;0;0
267;2017-08-21;vicente grande tx2;0;0
286;2017-08-22;pacheco tx2;0;0
287;2017-08-22;rodriguez tx2;0;0
288;2017-08-22;pilar miguel tx2;0;0
289;2017-08-22;martelo tx2;0;0
290;2017-08-22;san isidro tx2;0;0
291;2017-08-22;mitre san martin tx2;0;0
292;2017-08-22;san martin tx2;0;0
293;2017-08-22;san jose tx2;0;0
294;2017-08-22;galicia tx2;0;0
295;2017-08-22;lanus tx2;0;0
296;2017-08-22;glew tx2;0;0
297;2017-08-22;laoeste tx2;0;0
298;2017-08-22;balbin tx2;0;0
299;2017-08-23;san fernando tx2;0;0
300;2017-08-23;pilar tx2;0;0
302;2017-08-23;CASA CAMI;0;0
309;2017-08-23;san nicolas arroyos;0;0
310;2017-08-23;avelez tx2;0;0
319;2017-08-24;crovara 1423 tx2;0;0
320;2017-08-24;murguiondo tx2;30753,418400000017;30753,41840000002
