ACTUAL;MONTO;CLIENTE;REMITO;FECHA
UTIL;0;moreno tx2;12;2017-07-12
UTIL;0;ramos tx2;13;2017-07-12
UTIL;0;soler tx2;14;2017-07-12
UTIL;0;mitre san martin tx2;15;2017-07-12
UTIL;0;no existe mas - once 757 tx2;16;2017-07-12
UTIL;0;lynmartin tx2;17;2017-07-12
UTIL;0;san martin tx2;18;2017-07-12
UTIL;0;calzada tx2;19;2017-07-12
UTIL;0;florencio tx2;20;2017-07-12
UTIL;0;gaona tx2;21;2017-07-12
UTIL;0;crovara 1423 tx2;22;2017-07-13
UTIL;0;no existe mas - crovara tx2;23;2017-07-13
UTIL;0;maipu yerbal tx2;24;2017-07-14
UTIL;0;olivos tx2;25;2017-07-14
UTIL;0;monroe tx2;26;2017-07-14
UTIL;0;lafenacional;27;2017-07-14
UTIL;0;cordoba tx2;28;2017-07-14
UTIL;0;forest 581 tx2;29;2017-07-14
UTIL;0;carrillo tx2;31;2017-07-16
UTIL;0;chacarita tx2;32;2017-07-16
UTIL;0;escalada tx2;33;2017-07-16
UTIL;0;rolon tx2;34;2017-07-16
UTIL;0;eva san juan tx2;35;2017-07-16
UTIL;0;balbin tx2;36;2017-07-16
UTIL;0;lanuperon tx2;37;2017-07-16
UTIL;0;galicia tx2;38;2017-07-17
UTIL;0;lalee tx2;39;2017-07-17
UTIL;0;rodriguez tx2;42;2017-07-18
UTIL;0;rivadavia tx2;43;2017-07-19
UTIL;0;peron 3513 tx2;44;2017-07-19
UTIL;0;suarez tx2;45;2017-07-19
UTIL;0;multiprecio tx2;46;2017-07-21
UTIL;0;corrientes 2 tx2;47;2017-07-21
UTIL;0;casares tx2;48;2017-07-21
UTIL;0;kimi tx2;49;2017-07-21
UTIL;0;liniers tx2;50;2017-07-23
UTIL;0;avellaneda 1961;51;2017-07-23
UTIL;0;san fernando tx2;53;2017-07-23
UTIL;0;estrada santa fe tx2;54;2017-07-23
UTIL;0;jauretche tx2;55;2017-07-24
UTIL;0;moron tx2;56;2017-07-24
UTIL;0;merlo tx2;57;2017-07-24
UTIL;0;3 de febrero tx2;58;2017-07-24
UTIL;0;olavarria tx2;60;2017-07-25
UTIL;0;alberdi tx2;61;2017-07-25
UTIL;0;laferrere tx2;62;2017-07-25
UTIL;0;glew tx2;63;2017-07-25
UTIL;0;cesar;64;2017-07-25
UTIL;0;pilar miguel tx2;65;2017-07-25
UTIL;0;25 avellaneda tx2;66;2017-07-25
UTIL;0;beiro 4285 tx2;67;2017-07-25
UTIL;0;junior tx2;69;2017-07-26
UTIL;0;herrera celina tx2;70;2017-07-27
UTIL;0;celina tx2;71;2017-07-27
UTIL;0;luis lavalle tx2;72;2017-07-27
UTIL;0;no existe mas - cristiania tx2;73;2017-07-27
UTIL;0;achupallas tx2;74;2017-07-27
UTIL;0;castillo tx2;75;2017-07-27
UTIL;0;pto lacroze;76;2017-07-27
UTIL;0;libreria thomas;77;2017-07-27
UTIL;0;escalada tx2;78;2017-07-27
UTIL;0;cecilia tx2;79;2017-07-30
UTIL;0;cobo tx2;80;2017-07-30
UTIL;0;lafenacional;81;2017-07-31
UTIL;0;navarro tx2;82;2017-07-31
UTIL;0;big store;83;2017-07-31
UTIL;0;urquiza tx2;84;2017-07-31
UTIL;0;yrigoyen lanus;85;2017-08-01
UTIL;0;bingocrovara tx2;86;2017-08-01
UTIL;0;avenida de mayo tx2;88;2017-08-01
UTIL;0;avellaneda tx2;89;2017-08-01
UTIL;0;mitre avellaneda tx2;90;2017-08-01
UTIL;0;los incas tx2;91;2017-08-01
UTIL;0;marquez tx2;92;2017-08-01
UTIL;0;cesar;93;2017-08-01
UTIL;0;juan mansilla tx2;94;2017-08-02
UTIL;0;diaz velez 4480;95;2017-08-02
UTIL;0;pueyrredon tx2;96;2017-08-02
UTIL;0;luis lavalle tx2;107;2017-08-03
UTIL;0;ruta 23 tx2;108;2017-08-03
UTIL;0;estrada tx2;109;2017-08-03
UTIL;0;san wilde tx2;110;2017-08-03
UTIL;0;marcos paz tx2;116;2017-08-06
UTIL;0;claypole tx2;117;2017-08-06
UTIL;0;ciudadela tx2;118;2017-08-06
UTIL;0;medrano tx2;119;2017-08-06
UTIL;0;mitre san martin tx2;120;2017-08-06
UTIL;0;avellaneda tx2;121;2017-08-06
UTIL;0;pablo alberdi tx2;122;2017-08-06
UTIL;0;soler tx2;123;2017-08-07
UTIL;0;independencia tx2;124;2017-08-07
UTIL;0;veronica tx2;125;2017-08-07
UTIL;0;acoyte tx2;126;2017-08-07
UTIL;0;libreria thomas;127;2017-08-07
UTIL;0;beiro 4285 tx2;128;2017-08-07
UTIL;0;diaz velez 4480;130;2017-08-08
UTIL;0;rivadavia tx2;131;2017-08-08
UTIL;0;juan cesar;132;2017-08-08
UTIL;0;cuenca tz2;133;2017-08-08
UTIL;0;escobar tx2;134;2017-08-08
UTIL;0;santos tx2;135;2017-08-08
UTIL;0;san nicolas arroyos;136;2017-08-08
UTIL;0;katinazca tx2;144;2017-08-09
UTIL;0;cordoba tx2;146;2017-08-09
UTIL;0;wang tx2;147;2017-08-09
UTIL;0;san miguel tx2;149;2017-08-09
UTIL;0;moreno tx2;150;2017-08-09
UTIL;0;gaona tx2;151;2017-08-10
UTIL;0;kimi tx2;152;2017-08-10
UTIL;0;caseros tx2;153;2017-08-10
UTIL;0;cesar;154;2017-08-11
UTIL;0;segui tx2;162;2017-08-12
UTIL;0;libreria los primos;163;2017-08-12
UTIL;0;suarez tx2;164;2017-08-12
UTIL;0;riva 7579 tx2;166;2017-08-12
UTIL;0;yrigoyen paz;167;2017-08-12
UTIL;0;solano tx2;168;2017-08-12
UTIL;0;josecpaz tx2;169;2017-08-12
UTIL;0;big store;170;2017-08-12
UTIL;0;san wilde tx2;171;2017-08-12
UTIL;0;mercedes tx2;189;2017-08-14
UTIL;0;lynmartin tx2;190;2017-08-14
UTIL;0;urquiza tx2;191;2017-08-14
UTIL;0;libreria stockler;192;2017-08-14
UTIL;0;beiro 4285 tx2;204;2017-08-15
UTIL;0;mariano tx2;205;2017-08-15
UTIL;0;san juan tx2;207;2017-08-15
UTIL;0;congreso tx2;208;2017-08-15
UTIL;0;rivadavia 2379 tx2;209;2017-08-15
UTIL;0;corrientes 2 tx2;210;2017-08-15
UTIL;0;alsina tx2;216;2017-08-16
